,cell_type,cell_markers
0,Enterocytes,"['ANPEP', 'CA1', 'CA2']"
1,Goblet cells,"['MUC2', 'FCGBP', 'BCAS1', 'REG4', 'SPINK4', 'MUC5AC', 'SPDEF', 'TFF3', 'AGR2']"
2,Enteroendocrine cells,"[""CHGA"", ""SYP"", ""TPH1"", ""GAST"", ""SST"", ""GCG"", ""PYY"", ""CCK"", ""NTS"", ""GIP"", ""MDK"", ""CRYBA2"", ""PPY""]"
3,Stem cells,"[""CD34"", ""CD133"", ""LGR5"", ""POU5F1"", ""ZFP42""]"
4,Tuft cells,"['DCLK1', 'PTGS1', 'CHAT', 'VIL1', 'PLS1']"
5,Fibroblasts,"[""VIM"", ""PDGFRA"", ""COL1A1"", ""COL3A1"", ""DCN"", ""LUM"", ""THY1"", ""FN1""]"
6,Endothelial cells,"['CD31', 'CD34', 'CD105', 'VE-cadherin', 'vWF', 'PECAM1', 'CD144']"
7,T cells,"[""CD3D"", ""CD3E"", ""CD3G"", ""CD4"", ""CD8A"", ""CD8B"", ""CCR7"", ""SELL"", ""CD27"", ""PTPRC"", ""FOXP3"", ""TBX21"", ""GATA3"", ""RORC"", ""IFNG"", ""IL4"", ""IL17A"", ""CD69"", ""IL2RA"", ""HLA-DRA""]"
8,B cells,"['CD19', 'MS4A1', 'CD20', 'CR2', 'CD21', 'PTPRC']"
9,Plasma cells,"['SDC1', 'CD38', 'CD27', 'CD24', 'TNFRSF17', 'IRF4', 'XBP1', 'PRDM1', 'LY6K', 'SLC3A2', 'LY6A']"
10,Macrophages,"[""CD68"", ""ITGAM"", ""CD14"", ""ADGRE1"", ""FCGR3A"", ""FCGR1A"", ""CCR5"", ""NOS2"", ""ARG1"", ""CD9"", ""HLA-DRA""]"
11,Dendritic cells,"[""ITGAX"", ""HLA-DRA"", ""CD1A"", ""CD1C"", ""THBD"", ""CD207"", ""LAMP3"", ""IL3RA"", ""CLEC4C"", ""NRP1""]"
12,Mast cells,"['KIT', 'ENPP3', 'CD200R3', 'TPSAB1', 'CMA1', 'HDC']"
